,Earnings Yield,Dividend Yield,EPS Growth,Sales Growth,ROE,ROA,Gross Margin,Net Income Margin,Operating Margin,Price to Sales,Price to Book,MarketCap,momentum_12m,momentum_6m,momentum_3m,future_return,volatility,beta,idiosyncratic_vol,avg_volume
MMM,0.0482680692724023,1.94,-0.217,0.001,0.91850996,0.05929,0.41335,0.16981001,0.17671,3.3227909,21.119068,81657585664.0,0.7679242014069112,0.15091884171954262,0.16476790003192776,0.015328496174571216,0.2519231717307947,1.0,0.2519231717307947,4066226.6666666665
AOS,0.05430067598368525,2.03,-0.181,-0.077,0.28627002,0.13533,0.38137,0.13976,0.15168999,2.5130072,5.122213,9594912768.0,-0.21069039704092773,-0.14997880322113433,-0.07808191576948265,0.02452104941181754,0.2721939957410844,1.0,0.2721939957410844,1460660.0
ABT,0.060295156851821026,1.86,4.794,0.072,0.30906,0.060599998,0.55557,0.31948,0.18589,5.238515,4.6036186,219755692032.0,0.0760006165185374,0.09539705417851918,0.11595355310570654,-0.028967784884409653,0.23695045472932302,1.0,0.23695045472932302,6684596.666666667
ABBV,0.01128582954627918,3.1,0.0,0.056,0.62292,0.082550004,0.70311,0.07594,0.3328,6.6362796,112.404465,373848178688.0,0.22030626360842098,0.11057657952509925,0.2259393476848497,0.09725390814746593,0.26397938230035234,1.0,0.26397938230035234,6241586.666666667
ACN,0.037387866777309826,1.86,0.16,0.09,0.2683,0.1146,0.32454,0.11408,0.16668,3.0049794,6.8265424,199415545856.0,-0.14774349847207868,-0.08509038274615266,-0.12373567905344507,-0.18005293229881913,0.2494765730149721,1.0,0.2494765730149721,3010846.6666666665
ADBE,0.03840502694151045,0.0,2.044,0.103,0.47284,0.17194,0.89155,0.30635,0.37854,7.7901363,13.143104,171671240704.0,-0.31176009304203456,-0.3270138974519864,-0.2821995608682879,-0.14698767848522654,0.33501247838728215,1.0,0.33501247838728215,3567260.0
AMD,0.009903931860948796,0.0,-0.297,0.242,0.02893,0.019019999,0.53019,0.06364,0.13803001,6.3455443,2.8448665,163619864576.0,-0.48164687765872405,-0.3303044481033691,-0.2242027971126126,-0.0962226985547856,0.5841400597159633,1.0,0.5841400597159633,39419326.666666664
AES,0.1925263948874231,5.66,0.0,-0.002,0.10055,0.02733,0.18847,0.13675,0.1104,0.71375644,2.4019513,8763501568.0,-0.18178981281656748,-0.3025454662165513,-0.079816672949515,0.22001984474295777,0.33972656778384186,1.0,0.33972656778384186,17538346.666666668
AFL,0.08979020697720191,2.16,6.544,0.43,0.22639999,0.03384,0.50869,0.28757998,0.4044,3.0972457,2.2600834,58621566976.0,0.306455898487036,0.0034029041674976668,0.0349291777945242,0.047697360453253124,0.2562794166254341,1.0,0.2562794166254341,2080416.6666666667
A,0.03597953584743698,0.82,-0.059,0.014,0.20614,0.08392999,0.53972,0.19271,0.23200001,5.288348,5.7349744,34548781056.0,-0.174530983779271,-0.10845914185381478,-0.14013756235547659,-0.12239282518663785,0.26651911726763483,1.0,0.26651911726763483,1945743.3333333333
APD,0.059194301625037485,2.45,0.015,-0.022,0.22396,0.048249997,0.32544997,0.31877002,0.22479999,5.396495,3.8907106,64945197056.0,0.21190358727521086,0.05517090979367456,-0.05969891326497356,-0.059384541045035544,0.25287840017967755,1.0,0.25287840017967755,1510386.6666666667
ABNB,0.03353410312655546,0.0,0.0,0.118,0.31948,0.07671,0.83084,0.23852,0.17339,6.876044,9.099393,76337840128.0,-0.25430926980727675,0.04686434876786194,-0.11509648623620705,-0.12567608258727025,0.4899669832738774,1.0,0.4899669832738774,6095083.333333333
AKAM,0.04050538733803212,0.0,-0.105,0.025,0.10657,0.03924,0.59391,0.12651,0.15654999,3.0405066,2.4827015,12135173120.0,-0.26294162095623974,-0.17029803879872407,-0.19286136706214374,-0.2011675706787247,0.31894513563711385,1.0,0.31894513563711385,3485473.3333333335
ALB,0.0,2.15,0.0,-0.477,-0.11432,-0.02142,0.01567,-0.21933001,0.01771,1.6448116,1.1446526,8845017088.0,-0.389240173304946,-0.13785147543813037,-0.268576875686552,-0.012360335866999361,0.442807267328362,1.0,0.442807267328362,2947836.6666666665
ARE,0.01815247915487285,5.32,0.0,0.05,0.02269,0.0141900005,0.70889,0.10339,0.24172,5.4951377,0.9545354,17163803648.0,-0.1707203562563554,-0.16653151845476888,-0.027791179799276367,0.041268509573035184,0.25941176663176163,1.0,0.25941176663176163,1228990.0
ALGN,0.033814680805982385,0.0,-0.147,0.04,0.112629995,0.06866,0.70091003,0.10537,0.18176001,3.0587356,3.1863496,12231920640.0,-0.481742506211715,-0.27379185307611675,-0.30611224956732686,-0.19061069488499882,0.46901617095349973,1.0,0.46901617095349973,1241163.3333333333
ALLE,0.05376598462722968,1.61,0.234,0.054,0.42391,0.11255,0.44230998,0.1584,0.20717,2.897392,7.280147,10929542144.0,-0.03539204850563327,-0.08651266369125565,-0.09812018327930538,-0.03680605580144958,0.26283939406184875,1.0,0.26283939406184875,1061516.6666666667
LNT,0.04273232722347943,3.22,0.235,0.016,0.10014,0.02645,0.46220002,0.17332001,-0.3125,4.0589705,2.307044,16158761984.0,0.3323919692007036,0.08658605289898236,0.05102594667691163,0.03826487966275627,0.21327598617445886,1.0,0.21327598617445886,2139443.3333333335
ALL,0.08188345707697839,1.93,0.282,0.113,0.23586,0.03618,0.23541,0.0728,0.1551,0.85780185,2.8283036,54990245888.0,0.3222315872012329,0.1254937772029585,0.07878350486184083,0.1014041904835341,0.24326000203745088,1.0,0.24326000203745088,2001490.0
GOOGL,0.048582994377878726,0.48,0.309,0.118,0.32908002,0.1674,0.582,0.28604,0.33967,5.7969584,6.2162876,2029039910912.0,0.18950731463085213,0.07227665996672106,-0.15209518753142348,-0.09764940712057679,0.2865226160395553,1.0,0.2865226160395553,33650356.666666664
GOOG,0.04802529588384794,0.48,0.309,0.118,0.32908002,0.1674,0.582,0.28604,0.33967,5.7969112,6.296296,2029023264768.0,0.19637656757582111,0.08011666483617885,-0.14691195105163757,-0.09501717302888302,0.2867538633386496,1.0,0.2867538633386496,20935693.333333332
MO,0.11101679617516053,6.93,0.539,0.016,0.0,0.20511,0.70133,0.55097,0.60987,4.8716874,-44.493958,99596779520.0,0.47566550849337164,0.16327888971138416,0.0981099065381219,0.10442444092407777,0.22494602905913486,1.0,0.22494602905913486,8597576.666666666
AMZN,0.027885829168956554,0.0,0.846,0.105,0.24290001,0.07438,0.48854,0.09287,0.11291,3.288322,7.3325677,2097814568960.0,0.1211486162518205,0.05855613341305976,-0.14031963141402115,-0.13532519424579736,0.3257832119878266,1.0,0.3257832119878266,43706960.0
AMCR,0.05623722571417903,5.21,0.228,-0.003,0.20721,0.05138,0.2017,0.05894,0.08979,1.0439752,3.7328246,14135425024.0,0.07850492412080379,-0.0784052705317353,-0.011694114808041611,-0.00872614435009822,0.2536500209080356,1.0,0.2536500209080356,24903733.333333332
AEE,0.04459241396529167,2.87,0.288,0.205,0.100080006,0.026630001,0.49877,0.16139,0.14637,3.6527963,2.2084086,26753081344.0,0.41342445988847176,0.20446366613590694,0.11112054730131238,0.026466974294114376,0.21936889547139046,1.0,0.21936889547139046,2084496.6666666667
AEP,0.052860934194374515,3.57,0.97,0.026,0.113859996,0.02861,0.47320998,0.15045,0.26299,2.8566337,2.0878162,56336527360.0,0.320789929358154,0.04462666153764272,0.13796256901632153,0.03136296172280151,0.209106555049322,1.0,0.209106555049322,3436026.6666666665
AXP,0.05270488867357185,1.23,0.157,0.106,0.34735,0.038039997,0.64813006,0.16669,0.17832,3.0649047,6.1615367,186235863040.0,0.20539893327528036,0.0462483795415658,-0.11935392715320436,-0.1330613244967812,0.3091680178090038,1.0,0.3091680178090038,2856106.6666666665
AIG,0.04895946450096108,1.92,11.526,0.088,0.057540003,0.00754,0.3343,-0.05195,0.25591,1.8249813,1.1850657,49323769856.0,0.11941706149110964,0.14851988077165768,0.13510100207736953,0.08157684872854354,0.32253154706888654,1.0,0.32253154706888654,4986303.333333333
AMT,0.032807093339756524,3.22,13.388,-0.086,0.31768,0.04532,0.74579,0.22267,0.46012002,9.736225,29.150082,98600697856.0,0.07770142055208584,-0.09609474707995647,0.06620468989415773,0.11296954369281531,0.2567883674232854,1.0,0.2567883674232854,2534276.6666666665
AWK,0.03727826885683952,2.12,0.391,0.164,0.10443,0.03457,0.60333,0.22438,0.33722,6.0065656,2.7227108,28134754304.0,0.22504278771516573,-0.007374254349172826,0.1141326300128811,0.1543753895327169,0.23249103126754508,1.0,0.23249103126754508,1643986.6666666667
AMP,0.06800733146236097,1.22,1.966,0.115,0.68314004,0.02264,0.57799,0.18972,0.36953998,2.7180839,8.936612,48724373504.0,0.18091424348705543,0.12222537012512014,-0.11552524698847455,-0.07787647557238275,0.3377491144821338,1.0,0.3377491144821338,570043.3333333334
AME,0.03372317549021188,0.7,0.129,0.018,0.1497,0.07501,0.35678002,0.19826001,0.2825,5.8554564,4.2086396,40643776512.0,-0.023341799924310846,0.06062280233486561,-0.064685900134137,-0.04875274533478502,0.24119947061717864,1.0,0.24119947061717864,1433783.3333333333
AMGN,0.024098689144574376,3.03,-0.187,0.109,0.67553,0.064,0.68711,0.122370005,0.51805,5.042083,28.659782,168526577664.0,0.17132113697233908,-0.03419553116033058,0.15666752707065745,0.07179711480715345,0.24791707130632984,1.0,0.24791707130632984,3263226.6666666665
APH,0.030476190476190476,1.05,0.438,0.298,0.26709998,0.10873,0.33883,0.15923999,0.22368,5.012122,7.780659,76298035200.0,0.149589518629325,-0.0023113774126334308,-0.1413265783612121,-0.09651517328178072,0.24813335471017822,1.0,0.24813335471017822,7792663.333333333
ADI,0.01499401214125139,1.9,-0.161,-0.036,0.04429,0.02616,0.57163,0.16747999,0.22912,11.0879345,2.9521992,103534993408.0,0.06855398214176778,-0.04958258272048288,-0.03436695233150999,0.022074964645555584,0.3169996882144751,1.0,0.3169996882144751,4291973.333333333
ANSS,0.020298748866314876,0.0,0.019,0.096,0.10032,0.058369998,0.92484003,0.22622,0.40308997,11.114187,4.6408076,28283482112.0,-0.020311511493407264,0.011123954935770897,-0.06197676547738007,-0.034239203305967525,0.3001875511875968,1.0,0.3001875511875968,555000.0
AON,0.03129466433170917,0.68,0.331,0.229,0.9564,0.06616,0.4693,0.16906999,0.39666998,5.487262,14.072624,86139035648.0,0.25300218343228353,0.14720342438117529,0.09971597268625043,0.031157931982271236,0.22641456380920238,1.0,0.22641456380920238,1195146.6666666667
APA,0.1157572602664246,5.1,-0.835,0.245,0.22242,0.07467,0.69183,0.08488,0.33168,0.75372624,1.3570935,7139295232.0,-0.37553173371247006,-0.15534309600434504,-0.11442968879806903,-0.12337953175402827,0.5788889773523359,1.0,0.5788889773523359,9095803.333333334
APO,0.05457117046538403,1.38,-0.459,-0.526,0.22670001,0.01844,0.42672002,0.1768,0.21281,2.959938,4.792864,76626878464.0,0.2383962375966706,0.20214741853582763,-0.24582566440289177,-0.14441647618160836,0.3652206513631144,1.0,0.3652206513631144,3907750.0
AAPL,0.02950957854360905,0.47,0.101,0.04,1.3652,0.22518998,0.46519002,0.24295,0.34459,8.103569,48.105,3207068385280.0,0.2534217116302855,-0.039548050910688026,-0.13292735656234878,-0.09870388865612367,0.2850883999717385,1.0,0.2850883999717385,51172856.666666664
AMAT,0.049081330021586954,1.18,-0.398,0.068,0.35186002,0.15558,0.47726002,0.22952999,0.30352,4.5762467,6.7899675,126464573440.0,-0.21733739241714456,-0.14641424137068615,-0.08830399620069096,-0.1374949228767648,0.40522623027855714,1.0,0.40522623027855714,6996573.333333333
APTV,0.11007433319720807,0.0,-0.648,-0.002,0.17297001,0.05511,0.18937,0.09064999,0.11107001,0.73595446,1.6895576,14507870208.0,-0.20684898928707462,-0.05626866354871152,0.07369672605822375,-0.03391898410264915,0.39830060851154697,1.0,0.39830060851154697,3618863.3333333335
ACGL,0.12088149201607966,0.0,-0.605,0.144,0.22014,0.044499997,0.36967,0.24725,0.19657,1.9923623,1.7359587,34746798080.0,0.06978050928363633,-0.11708666290458314,-0.01594557249778039,0.048832964585036054,0.26784525868646536,1.0,0.26784525868646536,1840936.6666666667
ADM,0.07736329190709566,4.32,0.103,-0.064,0.07587,0.0233,0.06756,0.02105,0.01582,0.26461565,1.0173147,22632577024.0,-0.15966653422034316,-0.19225610540208826,-0.09849227228317015,0.055015222199759295,0.2679043488075528,1.0,0.2679043488075528,4463736.666666667
ANET,0.026703387028236936,0.0,0.295,0.253,0.33137,0.15336001,0.64133,0.40725,0.41423,15.038403,10.53887,105316130816.0,0.1899826109266871,-0.05999543472951374,-0.22120675630072495,-0.2383254049514799,0.43262820870955576,1.0,0.43262820870955576,11985860.0
AJG,0.019985242097825283,0.8,0.0,0.114,0.09488,0.030280001,0.4368,0.13385999,0.36396,7.5808177,4.034535,82838626304.0,0.28418327896748297,0.10083792047476625,0.1491051289994143,0.0038607914716710656,0.21602591793229822,1.0,0.21602591793229822,1621083.3333333333
AIZ,0.06851325885713717,1.52,0.134,0.041,0.15332,0.01893,0.11066,0.064,0.09083,0.9031571,2.1023502,10727248896.0,0.1813166934644641,0.11205458813608371,-0.022781060347132454,0.01856759455702406,0.26609411090014745,1.0,0.26609411090014745,521790.0
T,0.056057186402365254,4.18,0.884,0.009,0.10226,0.04123,0.59766,0.089490004,0.18184,1.5596064,1.827432,190796021760.0,0.6361516717527926,0.2627597124959302,0.14639591615259895,0.04810722728675754,0.22928666198675465,1.0,0.22928666198675465,43791830.0
ATO,0.046567480726767495,2.32,0.074,0.015,0.09009,0.03504,0.59626997,0.25902998,0.39657003,5.6881037,1.8615483,23791738880.0,0.3221345078472535,0.12519282140250843,0.07664799950459589,0.03022432507093331,0.21394787874093352,1.0,0.21394787874093352,920640.0
ADSK,0.020084110648667768,0.0,0.069,0.116,0.49687,0.08382,0.91959,0.18136999,0.22208999,8.839274,20.773186,54193590272.0,-0.016505679666658835,-0.019424243732264368,-0.1724777215023272,-0.14414022564406637,0.36396236519569897,1.0,0.36396236519569897,1904900.0
ADP,0.032903757233973284,2.11,0.103,0.081,0.83716005,0.054569997,0.48231,0.19764,0.25901,5.964242,23.378206,118708690944.0,0.22039531400179624,0.06438437574523337,-0.01966928320152217,-0.04348713482916744,0.2387779236992716,1.0,0.2387779236992716,1846200.0
AZO,0.041899795382349246,0.0,-0.021,0.024,0.0,0.13438,0.53125,0.13961,0.17884001,3.1883264,-13.355134,59534077952.0,0.15073931560741927,0.14498702022953824,0.06347822828892746,0.03552326638221892,0.2568527341421616,1.0,0.2568527341421616,127980.0
AVB,0.03630205487781636,3.34,0.163,0.054,0.09122,0.02898,0.63789004,0.36499,0.31538,10.059548,2.4941106,29820917760.0,0.16343591458145545,-0.08126555904771038,-0.06586463490606032,-0.037511469487921945,0.24406559502435515,1.0,0.24406559502435515,688570.0
AVY,0.04892521096550968,1.97,0.224,0.036,0.31751,0.085880004,0.28903,0.08051,0.14,1.6111203,6.165102,14106485760.0,-0.15416066853043886,-0.17478661363147918,-0.09135874467061444,-0.00926558967832436,0.26787289858006097,1.0,0.26787289858006097,730460.0
AXON,0.008593104308771549,0.0,1.225,0.336,0.19122,0.012180001,0.59639,0.18105,-0.0166,20.46672,18.310074,42622476288.0,0.8132212399081746,0.44667237688997696,-0.1341583015078709,-0.16361942101399596,0.4831484220934259,1.0,0.4831484220934259,1058963.3333333333
BKR,0.06956115743922842,2.15,1.745,0.077,0.18469,0.05748,0.21248,0.10705,0.14028,1.5241797,2.5102544,42416398336.0,0.3808631125292412,0.30036097822493657,0.01386819969528652,-0.07692307060033932,0.3952129831438059,1.0,0.3952129831438059,8014576.666666667
BALL,0.02640200591880169,1.54,0.0,-0.008,0.08805,0.04004,0.20695,0.33980998,0.10799,1.2442293,2.5615835,14675685376.0,-0.1949222280776266,-0.20378106843455246,-0.09270657628139711,0.05057907286863239,0.2784810303595276,1.0,0.2784810303595276,2869433.3333333335
BAC,0.0785033031246081,2.54,1.427,0.064,0.09241,0.00842,0.0,0.28243,0.29747,3.2360928,1.142466,310878502912.0,0.1613081323447343,0.06696589433650657,-0.10703030687755577,-0.10954244778158762,0.31085821417274984,1.0,0.31085821417274984,40377956.666666664
