,Earnings Yield,Dividend Yield,EPS Growth,Sales Growth,ROE,ROA,Gross Margin,Net Income Margin,Operating Margin,Price to Sales,Price to Book,MarketCap,momentum_12m,momentum_6m,momentum_3m,future_return,volatility,beta,idiosyncratic_vol,avg_volume,Earnings Yield_z,Dividend Yield_z,EPS Growth_z,Sales Growth_z,ROE_z,ROA_z,Gross Margin_z,Net Income Margin_z,Operating Margin_z,Price to Sales_z,Price to Book_z,MarketCap_z,momentum_12m_z,momentum_6m_z,momentum_3m_z,volatility_z,beta_z,idiosyncratic_vol_z,avg_volume_z,predicted_return,rank
AES,0.09848879288639087,5.23,0.0,-0.002,0.10055,0.02733,0.18847,0.13675,0.1104,0.71375644,2.4019513,9169638400.0,-0.18178981281656748,-0.25371751986039526,-0.079816672949515,0.22001984474295777,0.33972656778384186,1.0,0.33972656778384186,17538346.666666668,2.118711747067221,2.137820344837908,-0.3564510454312305,-0.7231160208438346,-0.545396511184601,-0.8674249525943163,-1.2038547810068412,-0.0792060434630346,-0.790033678882482,1.0351795502725603,0.3620367135301941,-0.7653318587840818,-1.051482345400358,-1.7361215233229392,-0.22896034734589762,0.3518772678161535,,0.3518772678161535,2.3888062667869856,0.21637407,1.0
HII,0.07121737629915628,2.75,-0.544,-0.054,0.12559,0.03559,0.1257,0.04768,0.04694,0.66543394,1.6450166,9169638400.0,-0.30666355869440143,-0.22936689119688758,0.03222303042605046,0.2091953287805044,0.29596761313324793,1.0,0.29596761313324793,997943.3333333334,1.047738701059639,0.5461745012302684,-1.1399641510289562,-1.2798142589951618,-0.4262909319006327,-0.678611793491876,-1.495160181412654,-1.0194757003308568,-1.3296717088421675,1.0502896967333089,0.47368814802990167,-0.7653318587840818,-1.5978593397424459,-1.5709671697847716,0.8045838413787796,-0.23656440884756255,,-0.23656440884756255,-0.7279934287144673,0.20695964,2.0
CCI,0.0022031539735402087,5.23,0.0,-0.015,0.20527,0.03745,0.72152,0.18626,0.35294,6.804066,8.478028,44859207680.0,0.011546624410141426,-0.09249064586510714,0.07518536052211289,0.16958907202802043,0.24963762090350955,1.0,0.24963762090350955,2814353.3333333335,-1.6625118525000535,2.137820344837908,-0.3564510454312305,-0.8622905803816665,-0.047284040632797765,-0.6360945445898736,1.2699439076393049,0.4434474954560837,1.2724278368190958,-0.8692225283222366,-0.534213226768816,-0.28780579219628666,-0.20555127537318826,-0.642625313610062,1.2009028717497623,-0.8595797099480921,,-0.8595797099480921,-0.385717244705303,0.16093226,3.0
MOH,0.0662838223560419,0.0,0.203,0.191,0.27069,0.06995,0.12093,0.0301,0.03737,0.4455652,3.8390253,17106209792.0,-0.23875622991510947,-0.12670709160582438,0.02633946164434975,0.15624411131079396,0.38402329188833795,1.0,0.38402329188833795,925130.0,0.8539936025166771,-1.2187553656733638,-0.06407391227619684,1.3430909015255144,0.26389355508434276,0.10681437439672614,-1.517296978607743,-1.2050594049197902,-1.4110510965937304,1.1190412899567606,0.15006152784742297,-0.6591406159231373,-1.300735217042323,-0.874693037806055,0.7503090785930824,0.947550514832486,,0.947550514832486,-0.7417140478909311,0.1459718,4.0
BAX,0.0022031539735402087,1.97,0.0,0.01,0.0,0.02053,0.39583,0.00769,0.101339996,1.6638875,2.5377843,17697107968.0,-0.1679416855612449,-0.11283281753889596,0.12123695685909852,0.14751879757290798,0.2552875738795967,1.0,0.2552875738795967,5067970.0,-1.6625118525000535,0.045576211708510894,-0.3564510454312305,-0.5946471966550668,-1.0236739072310468,-1.0228643571822817,-0.24153061614863874,-1.4416311239094377,-0.867076268072316,0.7380794525229349,0.3420007060616519,-0.6512344044604704,-0.9908907607254486,-0.7805929307411045,1.6257197745225194,-0.7836028538082079,,-0.7836028538082079,0.03894420996964338,0.14417431,5.0
AWK,0.03727826885683952,2.12,0.391,0.164,0.10443,0.03457,0.60333,0.22438,0.33722,6.0065656,2.7227108,28134754304.0,0.22504278771516573,-0.007374254349172826,0.1141326300128811,0.1543753895327169,0.23249103126754508,1.0,0.23249103126754508,1643986.6666666667,-0.28508055898901463,0.14184511353961818,0.2066989992171348,1.0540360471007868,-0.5269408543306954,-0.7019277041800708,0.7214432660276586,0.845862217807059,1.1387513503557136,-0.6198490926244653,0.3147231760422061,-0.511578804804419,0.7285873715469317,-0.06533661972996133,1.5601837591146988,-1.0901557836915419,,-1.0901557836915419,-0.6062559097413863,0.13187426,6.0
BF-B,0.06007472695285665,2.6,-0.05,-0.032,0.27985,0.0896,0.59308,0.24450001,0.29855,4.0519214,4.301434,16390021120.0,-0.3451259741076138,-0.2365340617520726,-0.22160675222742765,0.14232073107103904,0.2506247435804838,1.0,0.2506247435804838,3762276.6666666665,0.6101568441425758,0.44990559939916125,-0.4284651176369038,-1.0442880813157542,0.3074641264198519,0.5559885361840088,0.6738746766671427,1.0582596007516771,0.809917397967736,-0.008643957528957384,0.08185406598823619,-0.6687232129220467,-1.7661491494288395,-1.6195773899189758,-1.536945892124285,-0.8463055326339951,,-0.8463055326339951,-0.20709480744357228,0.1302183,7.0
MNST,0.027046649736906417,0.0,-0.211,0.047,0.21274,0.14774999,0.54038,0.2014,0.28053,7.155133,8.997224,53611327488.0,-0.09465897232491916,0.10378682270110984,0.057389669213752104,0.14365792498833496,0.27080053951325367,1.0,0.27080053951325367,6683963.333333333,-0.6868854399130725,-1.2187553656733638,-0.6603504301391718,-0.19853498873969946,-0.011752144576438214,1.8852238041834422,0.4293025147842949,0.6032732797266441,0.6566826469454617,-0.9789990048608184,-0.6107970829277556,-0.17070251999284672,-0.6702469911818604,0.6885961050689926,1.0367411256726502,-0.5749946825119633,,-0.5749946825119633,0.3434547728478386,0.12943715,8.0
FMC,0.07699688732383304,5.23,0.0,0.068,0.090220004,0.03367,0.38833,0.08033,0.16712,1.2263601,1.1597953,9169638400.0,-0.3393856097690421,-0.25371751986039526,-0.25140925894812416,0.13720673213946966,0.35551478557354455,1.0,0.35551478557354455,4120746.6666666665,1.2747052946992885,2.137820344837908,-0.3564510454312305,0.026285453590644256,-0.5945323002253787,-0.7225005665520073,-0.27633690104657727,-0.6748051682018078,-0.30770986767363606,0.8748915606421448,0.5452605758692026,-0.7653318587840818,-1.741032556732039,-1.7361215233229392,-1.811868144706057,0.5641868492923752,,0.5641868492923752,-0.13954632241994597,0.12749028,9.0
ED,0.04924348950594155,3.2,-0.079,0.065,0.08442,0.029979998,0.53533,0.1193,0.28891,2.4626632,1.6793182,37570392064.0,0.22939847287872284,0.047385750737100496,0.1358702770993072,0.13527544611301234,0.21742411951498125,1.0,0.21742411951498125,3106340.0,0.18480441246933976,0.8349812067235901,-0.4702332795161943,-0.005831752456547725,-0.6221206722808633,-0.8068493479944193,0.4058662829530163,-0.26341739983828444,0.7279427586861198,0.4883072384138357,0.4686285004200944,-0.38533006949661996,0.7476453901178889,0.306064602174569,1.7607092705703402,-1.292765715409885,,-1.292765715409885,-0.3306965819429187,0.12402276,10.0
MRNA,0.0022031539735402087,0.0,0.0,-0.091,0.0,0.009430001,0.062800005,0.00769,0.02172,4.136245,1.2258773,13384888320.0,-0.3451259741076138,-0.25371751986039526,-0.19225388616715677,0.13378087784136228,0.4886848394536477,1.0,0.4886848394536477,12055683.333333334,-1.6625118525000535,-1.2187553656733638,-0.3564510454312305,-1.6759264669105292,-1.0236739072310468,-1.2765963035774306,-1.7870688675525082,-1.4416311239094377,-1.5441323315270599,-0.0350114249840263,0.5355131695280616,-0.7089318585994308,-1.7661491494288395,-1.7361215233229392,-1.266171486043315,2.3549702537936,,2.3549702537936,1.3556776868186426,0.11887336,11.0
STZ,0.020680526645328226,2.23,0.228,-0.003,0.08326,0.09056,0.51529,0.067389995,0.33058998,3.218524,4.1913414,32776484864.0,-0.29962982520866166,-0.25371751986039526,-0.2396199469983057,0.12592361623724613,0.2601415639356552,1.0,0.2601415639356552,3036810.0,-0.936888816776088,0.2124423082157634,-0.0280668761733602,-0.7338217561928987,-0.6276383428866701,0.5779329227140745,0.312863889705725,-0.8114066508695736,1.0823723567945203,0.25195424773788627,0.09809324318252069,-0.4494724980824914,-1.5670836940378512,-1.7361215233229392,-1.7031140647889313,-0.7183295841448231,,-0.7183295841448231,-0.3437985044571953,0.113618515,12.0
AMT,0.032807093339756524,3.22,2.51,-0.086,0.31768,0.04532,0.74579,0.22267,0.44182998,9.736225,22.599636,98600697856.0,0.07770142055208584,-0.09609474707995647,0.06620468989415773,0.11296954369281531,0.2567883674232854,1.0,0.2567883674232854,2534276.6666666665,-0.4606676410699045,0.8478170603010711,3.2586553792935695,-1.6223977901652091,0.4874067807454318,-0.45619629251527233,1.3825770455690332,0.8278105605347567,2.028312073981968,-1.7860904870619956,-2.617216939826952,0.4312547886410709,0.08390475418094102,-0.6670695698323498,1.1180579546469407,-0.763421168111512,,-0.763421168111512,-0.4384936402859667,0.11060828,13.0
ERIE,0.027186677484064392,1.3,0.373,0.13,0.32893002,0.16552,0.17824,0.15818,0.19745001,5.80793,11.091435,22041761792.0,0.04643610674444587,-0.1702700217099351,0.03823164043394578,0.10823960199094396,0.27723196522450466,1.0,0.27723196522450466,570043.3333333334,-0.681386424399168,-0.38442488313710127,0.18077393322309238,0.6900410452326112,0.5409187675288274,2.2914237709367056,-1.2513305536076291,0.14702028130038075,-0.049795798258924856,-0.5577369707698703,-0.9197030721697168,-0.5931029813832249,-0.05289460316429904,-1.1701518392601118,0.8600120848395483,-0.4885090943829675,,-0.4885090943829675,-0.8086249926992072,0.10857611,14.0
TAP,0.08973498208800022,3.15,1.923,-0.02,0.08611,0.043169998,0.38990003,0.09653,0.15759,1.0398196,0.92533094,12089981952.0,-0.07081978070454442,0.1141332087441318,-0.02142100912877687,0.1239469351765774,0.2854534977486448,1.0,0.2854534977486448,2441516.6666666665,1.7749417274594073,0.8028915727798875,2.413210171598965,-0.9158192571269864,-0.6140819970017137,-0.5053426205657039,-0.26905064618280256,-0.5037894677273639,-0.38874911169373993,0.9332216196387048,0.5798451736331258,-0.7262576923650135,-0.5659401509127442,0.7587688600316757,0.30972814584236963,-0.37795132576441026,,-0.37795132576441026,-0.4559729202000225,0.10769825,15.0
CB,0.07718737838163693,1.24,-0.213,0.091,0.14597,0.0301,0.2871,0.16591999,0.21369,2.1078513,1.8398833,117790941184.0,0.1447624326555701,0.02532463710142263,0.06775256735001856,0.10899001521331209,0.23501838233374817,1.0,0.23501838233374817,1689630.0,1.2821860497880775,-0.4229324438695442,-0.6632309930273987,0.2725173666191158,-0.3293511672917162,-0.8041062539606891,-0.7461289304090185,0.2287276770729234,0.08830247167749153,0.599254721988081,0.4449443916778356,0.6880200452175301,0.37732587303234627,0.15643852840126096,1.132336819202662,-1.056169626782874,,-1.056169626782874,-0.5976550839593263,0.10565335,16.0
MRK,0.07126995759259348,3.43,0.0,0.068,0.40789002,0.13903,0.77095,0.26674998,0.34185,3.7228463,5.1612725,238887600128.0,-0.20472127728824996,-0.16733372559053705,-0.0443407227342133,0.10388702831915175,0.21816250058431966,1.0,0.21816250058431966,18306823.333333332,1.0498036157227746,0.9825935228646212,-0.3564510454312305,0.026285453590644256,0.9165008977309893,1.6858958551227046,1.499340529306651,1.2931419590902797,1.1781229872720913,0.09425578808820813,-0.04497616383618158,2.3082920851734032,-1.1518174842706037,-1.150236867285587,0.09829830364859839,-1.2828364518356616,,-1.2828364518356616,2.5336145760160407,0.102338925,17.0
MO,0.09848879288639087,5.23,0.539,0.016,0.0,0.1674,0.70133,0.3482,0.44182998,4.8716874,-10.355988,99596779520.0,0.47566550849337164,0.16327888971138416,0.0981099065381219,0.10442444092407777,0.22494602905913486,1.0,0.22494602905913486,8597576.666666666,2.118711747067221,2.137820344837908,0.4198606529459278,-0.530412784560683,-1.0236739072310468,2.334398194558084,1.1762453886940543,2.152971108717284,2.028312073981968,-0.2649797084429621,2.243892868499962,0.44458235096827153,1.8251708681819867,1.092091801361043,1.4123772919789475,-1.1916160170403314,,-1.1916160170403314,0.7040475186499373,0.10201257,18.0
PGR,0.050794881481064966,1.73,0.19,0.2,0.36976,0.07067,0.15180999,0.11255,0.14989,2.2072568,6.493842,166301351936.0,0.4495793844340663,0.1594679866573212,0.1358702770993072,0.10475483080089765,0.23664657727200988,1.0,0.23664657727200988,2694326.6666666665,0.24572897001239655,-0.10845403122126064,-0.08279757104967192,1.4394425196670901,0.7351311644957936,0.1232726642942754,-1.3739879479963442,-0.3346739417026361,-0.4542267799995954,0.5681712378139605,-0.24153644340264618,1.3370888376487748,1.7110327204283198,1.0662449438122026,1.7607092705703402,-1.034274730822577,,-1.034274730822577,-0.4083345334484869,0.09961491,19.0
LKQ,0.0631301055289157,2.88,-0.089,-0.041,0.11349,0.05606,0.39192,0.048070002,0.09085,0.7521001,1.7939112,10796397568.0,-0.1723139737037781,0.06534367709301936,0.08665839071474801,0.1003377208462497,0.3247652753750248,1.0,0.3247652753750248,2662996.6666666665,0.730144307567558,0.6296075494838946,-0.484636093957329,-1.1406396994573302,-0.48384594425430755,-0.21069346821016216,-0.2596762926754308,-1.0153586345767558,-0.9562789276330627,1.0231897252750717,0.45172549302246157,-0.7435658379983954,-1.010021424556515,0.42786144607463833,1.30673931477311,0.15068763565063878,,0.15068763565063878,-0.4142382186544741,0.098329045,20.0
ELV,0.061006317509209665,1.62,-0.502,0.066,0.14774,0.05091,0.27851,0.03382,0.02172,0.54126775,2.3176835,95701549056.0,-0.16190263585123954,-0.22243396978615437,0.09634125084540379,0.09605698424970965,0.2921012085888418,1.0,0.2921012085888418,1539653.3333333333,0.646741242777603,-0.17905122589740585,-1.0794723303761906,0.004873982892516268,-0.32093196300526944,-0.3284159584495772,-0.7859937287121241,-1.165789132958992,-1.5441323315270599,1.0891156953131242,0.3744666110525755,0.392464207783808,-0.9644672895142683,-1.5239457080581393,1.396061791687626,-0.2885572773001381,,-0.2885572773001381,-0.6259160168748472,0.09596214,21.0
MKTX,0.03432526483658085,1.43,-0.06,0.026,0.20448999,0.111999996,0.62348,0.33556,0.39513,9.797223,5.757584,9169638400.0,-0.04316448886925828,-0.16615708233555215,-0.09216173352731283,0.10525579794243578,0.3279780291643155,1.0,0.3279780291643155,877713.3333333334,-0.4010476815744044,-0.3009918348834751,-0.44286793207803843,-0.4233554310700432,-0.05099424602006964,1.0680241304505984,0.8149561514534532,2.0195366362483353,1.6311944375754641,-1.8051641838660262,-0.1329349195698959,-0.7653318587840818,-0.44493621109820936,-1.142256467321076,-0.34284109885830905,0.19389063813489188,,0.19389063813489188,-0.750649032682416,0.093763456,22.0
