,1 Month,3 Months,6 Months,9 Months,12 Months
NVDA,3.731393361099726,3.931461425517957,3.8544190994656766,60.973814327297774,157.79209667699502
AAPL,-2.0462554937213073,5.964025525028871,4.172032534531541,44.65371242939241,30.350713661234067
MSFT,-4.233864070147271,2.096960681390948,-8.941555483411529,0.3071369283596157,10.91778607110946
GOOGL,4.741588197935923,19.66312608412198,1.4488986183604151,24.21544620622077,36.31571451521815
AMZN,-1.2930983336905515,19.008846582660617,11.18174700806213,19.456847823794668,44.493599854449435
META,-1.3886256732202686,4.605784702081058,14.219448262463155,17.484552762479755,64.85004688390296
TSLA,-1.5087627971542599,65.40603734744647,50.018987993282096,129.93713034014326,68.82106451218185
BRK.B,,,,,
AVGO,33.46720261746719,23.490761238452578,31.433094280216896,73.40834895325378,112.21207255652605
TSM,7.90871755897537,11.48670280875722,8.411406337992116,41.649564620480675,105.47617941126204
LLY,-1.5458173194103138,-13.557855187525824,-16.233592312862026,3.3124217015318465,24.917876775793353
V,0.07042743365909644,12.660829901705176,18.859317910081987,13.88807694236294,18.158455166405933
JNJ,-4.663935974229691,-11.363772262541683,-4.791533664098722,-5.279622394742037,-12.108476824588116
XOM,-5.094522017442989,-13.163877834025167,-4.458539979814007,-12.495905911956786,8.349374465424441
UNH,-7.195807203679712,-12.243598993006742,4.709246242066605,16.54705782872698,-2.4402936462544846
PG,-5.908981163171795,-4.054448634778642,-2.8177439222131095,3.0908168662986015,8.109912941252137
JPM,0.11117692159366196,14.231351750652857,17.00192555928638,24.38225986825312,42.164658407720154
MA,-2.383695037670324,3.690622024387469,19.084956869748414,10.066715611525948,20.578148752229566
WMT,-2.9085139198722363,15.312149664550063,30.379205052022044,51.43517761342794,70.7483502421466
CVX,-4.267513979772094,-0.21244992418219288,-3.113518777172309,-7.604349453757482,4.01384294239295
