,1 Month,3 Months,6 Months,9 Months,12 Months
AAPL,-2.0462554937213073,5.964025525028871,4.172032534531541,44.65371242939241,30.350713661234067
MSFT,-4.233864070147271,2.096960681390948,-8.941555483411529,0.3071369283596157,10.91778607110946
GOOGL,4.741588197935923,19.66312608412198,1.4488986183604151,24.21544620622077,36.31571451521815
AMZN,-1.2930983336905515,19.008846582660617,11.18174700806213,19.456847823794668,44.493599854449435
NVDA,3.731393361099726,3.931461425517957,3.8544190994656766,60.973814327297774,157.79209667699502
META,-1.3886256732202686,4.605784702081058,14.219448262463155,17.484552762479755,64.85004688390296
TSLA,-1.5087627971542599,65.40603734744647,50.018987993282096,129.93713034014326,68.82106451218185
BRK.B,,,,,
UNH,-7.195807203679712,-12.243598993006742,4.709246242066605,16.54705782872698,-2.4402936462544846
JNJ,-4.663935974229691,-11.363772262541683,-4.791533664098722,-5.279622394742037,-12.108476824588116
XOM,-5.094522017442989,-13.163877834025167,-4.458539979814007,-12.495905911956786,8.349374465424441
V,0.07042743365909644,12.660829901705176,18.859317910081987,13.88807694236294,18.158455166405933
PG,-5.908981163171795,-4.054448634778642,-2.8177439222131095,3.0908168662986015,8.109912941252137
MA,-2.383695037670324,3.690622024387469,19.084956869748414,10.066715611525948,20.578148752229566
LLY,-1.5458173194103138,-13.557855187525824,-16.233592312862026,3.3124217015318465,24.917876775793353
AVGO,33.46720261746719,23.490761238452578,31.433094280216896,73.40834895325378,112.21207255652605
JPM,0.11117692159366196,14.231351750652857,17.00192555928638,24.38225986825312,42.164658407720154
HD,-8.374543751045772,-5.551756201200143,12.499279576594972,10.451852722389802,8.520186506200766
CVX,-4.267513979772094,-0.21244992418219288,-3.113518777172309,-7.604349453757482,4.01384294239295
PEP,-8.320822920717873,-15.2899077213316,-10.422399555863734,-13.264281779759177,-12.209444707868505
KO,-1.9074881034017628,-10.888087964660425,-1.7825922551994147,4.735235916890874,2.508302827900949
BAC,1.0054624797216531,15.611702960212623,10.70914524738,26.084576154364814,37.529765425625996
PFE,5.044978220271394,-8.4526227993819,-5.255731044335596,2.0516752347589655,-7.347358322122697
COST,-6.646872123424953,3.7756107169655237,4.869332889764217,28.341494808024937,37.84558856883647
MRK,-1.1386153721573329,-8.729435940180249,-21.56323952834161,-21.222880888267383,-15.99360763807272
WMT,-2.9085139198722363,15.312149664550063,30.379205052022044,51.43517761342794,70.7483502421466
ABBV,1.610976182929665,-8.155392645099028,6.161532441987969,5.602556521974624,8.253987907532236
DIS,-4.331910638267028,18.034202234340317,13.189647060452625,-6.340131538857764,22.925300717679168
DHR,1.6002389940268424,-10.64365343211354,-1.6969449472081801,-3.1642733695865335,3.6796712117667294
NKE,-7.101898748964181,-13.166866942148836,-1.7231871853098293,-19.898875375811972,-31.29998725860928
ACN,-1.424630200360644,-0.9250273548452096,21.08380992085717,10.274358112497165,3.590775460059158
ADBE,-23.30134431315337,-16.678916442669898,-25.678860039913133,-13.882848503544423,-29.008685553351103
MCD,-4.592463819299723,-5.637420788950236,14.535505451259992,6.785268008204204,-2.4448306746025446
NFLX,-4.198825927743087,19.815419398681378,29.122698808515253,41.45300136213636,82.92810916377827
CRM,-6.28404706366522,12.658089660907518,29.419216372761248,9.104865904769511,23.76480818281939
TXN,0.7782159235073938,-5.339061339171068,-5.873682222708484,13.461997241096729,14.594919977344917
LIN,-5.575411508079223,-10.525755666298595,-3.43487803704095,-6.765961759303969,3.4813256905553107
PM,-5.52023209260138,2.068851020462677,18.58699696093811,35.822557904994824,28.993330195539276
AMD,-4.61875812161126,-25.788767344814445,-33.768214888466765,-27.103029327020206,-17.974954998691793
TMO,1.6945073254720215,-8.228496128190383,1.5012940994838837,-5.016476651029585,0.18384718869438535
NEE,-4.6938167739248,-12.700764108252566,-3.072699337289246,10.38900375557857,13.455370981153877
INTC,-1.3888923053808993,-14.384152675951889,-42.98824270227168,-46.55914313697521,-58.12092131968111
CMCSA,-5.970150982113286,-9.562044893141138,-0.6946356775597352,-6.419947062913691,-14.512422814451737
AMAT,5.244697282661607,-13.223181179111739,-30.583988451268524,-15.416962727281213,18.142986701498113
HON,-3.889472494714077,3.0758388940521444,2.6481386219938696,12.532586270068643,8.779646644430851
BMY,-2.2539531704552083,8.416029998079548,38.15662171440404,12.96480481023531,12.139758279515805
LOW,-8.596492992175769,-9.63361256491869,11.846513203649527,4.102713601489797,12.115704038122233
IBM,-3.6854861470451543,-4.222818391666562,25.494825276393957,19.963449113076702,38.42336946589694
SPGI,-3.180716252261632,-3.7389365484140127,6.407722178446888,16.93707559649579,14.482945019180143
INTU,-3.2484923259188827,1.0899402766105846,-1.072947154787152,-0.3676232752633547,2.8503327152943148
UNP,-2.222779997078118,-2.9310777092879396,3.3019934678431277,-2.123706417427115,-3.0041810358917362
QCOM,1.6745462129366555,-5.6017103026794235,-23.812260772993582,-6.894532797153217,14.191375076398002
C,1.04827880859375,15.406431418587252,9.375930821966413,21.734798545572193,38.17427669505625
RTX,-1.4369547084735776,-5.710105850865508,15.137065770336584,14.364638388830855,34.66542251759733
MDT,-1.0768144366616954,-6.944286184475758,7.293022222468637,0.42511656302317136,-5.052826634541671
NOW,-6.983261114385181,11.057234116211744,41.1666449021294,36.38762239822561,46.868258992432
AMGN,-4.184953234785811,-17.694157995888528,-17.863033411277264,-0.8406908047775327,-13.251474176239835
GS,-0.8563679665548685,15.147307656166761,21.117584787616423,44.7300143221528,51.85360574589537
LMT,-8.595546482637037,-21.530065144756364,1.7006130391564462,3.794473217921293,2.953450238756159
DE,-7.649336000700043,1.0449502494896188,16.633004700521358,-0.4781904543694539,4.137565441180973
CVS,-16.572988125950992,-31.17427169524237,-20.024336350080603,-35.33380557300719,-41.935891517016174
CAT,-7.034168308613251,-8.9678312854406,9.921454958562782,-2.9564328710899535,23.085051921494248
ADP,-3.421234146849292,1.735739752104645,24.65941586890644,18.755857692155118,24.05543073541347
BLK,-6.7138386586688386,3.1927864327829916,21.440883692849447,25.834230187544172,24.4510063375316
ISRG,1.102044709959668,12.43800091948838,22.32316217944671,40.045315218558606,49.271505366890025
ELV,-1.6980442635624204,-22.134179377984065,-28.31142165359037,-24.520424310586655,-20.198234626953994
SYK,-4.8552281090919704,3.036480497663575,7.932652533386913,4.828267117604837,18.298787298587506
AXP,0.24495077549057834,11.97175462590044,26.752611805614272,39.14542366013246,63.72925561164918
MO,-7.208505819080237,3.6433199721668386,9.716602053352439,23.536471452647326,25.401850843483793
PLD,-6.760938066915756,-10.804868879939336,-9.473142979919452,-12.53523661274372,-21.003371329678615
GE,0.9458720597743245,-8.095894175444606,4.339168722889059,10.395248525540715,67.02480027778209
T,-5.657166783317003,4.524038750638067,18.356459850972357,32.576215852131114,31.475988155218598
BKNG,-6.034527243888539,13.623360689570754,22.11425576744398,35.86847328724467,38.37581633862895
ADI,2.2401566798301826,-4.447331878005087,-7.506398377125069,12.280344514588569,17.025008311046335
